2025-03-27 04:39:03.547179: Олень переместился с (17, 4) в (17, 5). Голод: 1
2025-03-27 04:39:03.555221: Олень переместился с (19, 18) в (18, 19). Голод: 1
2025-03-27 04:39:03.564223: Олень переместился с (13, 12) в (14, 13). Голод: 1
2025-03-27 04:39:03.573321: Олень переместился с (1, 0) в (0, 19). Голод: 1
2025-03-27 04:39:03.581362: Олень переместился с (14, 14) в (14, 13). Голод: 1
2025-03-27 04:39:03.590322: Олень переместился с (16, 12) в (15, 11). Голод: 1
2025-03-27 04:39:03.598359: Олень переместился с (10, 2) в (11, 1). Голод: 1
2025-03-27 04:39:03.607321: Олень переместился с (5, 18) в (4, 17). Голод: 1
2025-03-27 04:39:03.615360: Олень переместился с (18, 14) в (19, 15). Голод: 1
2025-03-27 04:39:03.624321: Олень переместился с (2, 1) в (1, 2). Голод: 1
2025-03-27 04:39:03.632485: Олень переместился с (4, 3) в (3, 3). Голод: 1
2025-03-27 04:39:03.641443: Олень переместился с (11, 8) в (10, 7). Голод: 1
2025-03-27 04:39:03.649447: Олень переместился с (8, 0) в (8, 1). Голод: 1
2025-03-27 04:39:03.658487: Олень переместился с (1, 17) в (0, 16). Голод: 1
2025-03-27 04:39:03.667448: Олень переместился с (19, 1) в (0, 2). Голод: 1
2025-03-27 04:39:03.675487: Олень переместился с (0, 19) в (1, 18). Голод: 1
2025-03-27 04:39:03.684450: Олень переместился с (15, 4) в (15, 5). Голод: 1
2025-03-27 04:39:03.693444: Олень переместился с (9, 18) в (10, 17). Голод: 1
2025-03-27 04:39:03.701449: Олень переместился с (4, 19) в (5, 18). Голод: 1
2025-03-27 04:39:03.710443: Олень переместился с (2, 11) в (1, 12). Голод: 1
2025-03-27 04:39:03.719445: Олень переместился с (10, 5) в (9, 4). Голод: 1
2025-03-27 04:39:03.728444: Олень переместился с (13, 8) в (13, 7). Голод: 1
2025-03-27 04:39:03.736443: Олень переместился с (8, 5) в (8, 6). Голод: 1
2025-03-27 04:39:03.745669: Олень переместился с (7, 12) в (8, 12). Голод: 1
2025-03-27 04:39:03.754680: Олень переместился с (2, 1) в (1, 0). Голод: 1
2025-03-27 04:39:03.762685: Олень переместился с (12, 9) в (12, 8). Голод: 1
2025-03-27 04:39:03.771800: Олень переместился с (3, 11) в (4, 12). Голод: 1
2025-03-27 04:39:03.779801: Олень переместился с (18, 19) в (17, 18). Голод: 1
2025-03-27 04:39:03.788803: Олень переместился с (5, 15) в (6, 15). Голод: 1
2025-03-27 04:39:03.798799: Олень переместился с (7, 2) в (8, 2). Голод: 1
2025-03-27 04:39:03.809804: Олень переместился с (5, 6) в (4, 7). Голод: 1
2025-03-27 04:39:03.819799: Олень переместился с (2, 14) в (1, 13). Голод: 1
2025-03-27 04:39:03.828798: Олень переместился с (17, 19) в (16, 18). Голод: 1
2025-03-27 04:39:03.837801: Олень переместился с (10, 9) в (11, 10). Голод: 1
2025-03-27 04:39:03.846803: Олень переместился с (0, 7) в (0, 8). Голод: 1
2025-03-27 04:39:03.856802: Олень переместился с (3, 5) в (2, 6). Голод: 1
2025-03-27 04:39:03.866798: Олень переместился с (4, 13) в (4, 14). Голод: 1
2025-03-27 04:39:03.874924: Олень переместился с (13, 11) в (12, 10). Голод: 1
2025-03-27 04:39:03.890886: Волк (5, 11) съел Олень на (4, 12). Голод: 0
2025-03-27 04:39:03.894888: Волк (4, 3) съел Олень на (5, 2). Голод: 0
2025-03-27 04:39:03.907934: Волк (12, 0) съел Олень на (11, 0). Голод: 0
2025-03-27 04:39:03.918885: Волк (18, 13) съел Олень на (19, 14). Голод: 0
2025-03-27 04:39:03.941887: Волк (10, 8) съел Олень на (11, 8). Голод: 0
2025-03-27 04:39:03.950887: Волк (3, 2) съел Олень на (3, 3). Голод: 0
2025-03-27 04:39:03.973892: Волк (15, 14) съел Олень на (14, 13). Голод: 0
2025-03-27 04:39:03.983888: Волк (11, 1) съел Олень на (11, 0). Голод: 0
2025-03-27 04:39:04.006886: Волк (9, 4) съел Олень на (10, 4). Голод: 0
2025-03-27 04:39:04.020887: Волк (12, 12) съел Олень на (13, 11). Голод: 0
2025-03-27 04:39:04.044886: Волк (7, 7) съел Олень на (8, 6). Голод: 0
2025-03-27 04:39:04.070886: Волк (15, 5) съел Олень на (16, 4). Голод: 0
2025-03-27 04:39:04.079889: Волк (4, 6) съел Олень на (4, 7). Голод: 0
2025-03-27 04:39:04.088887: Волк (6, 5) съел Олень на (5, 6). Голод: 0
2025-03-27 04:39:04.098887: Олень (2, 13) съел растение на (3, 13). Голод: 0
2025-03-27 04:39:04.110889: Олень (16, 4) съел растение на (16, 5). Голод: 0
2025-03-27 04:39:04.119887: Олень (3, 8) съел растение на (4, 8). Голод: 0
2025-03-27 04:39:04.129952: Олень (10, 18) съел растение на (11, 18). Голод: 0
2025-03-27 04:39:04.138956: Олень (16, 0) съел растение на (17, 0). Голод: 0
2025-03-27 04:39:04.148953: Олень (7, 12) съел растение на (8, 12). Голод: 0
2025-03-27 04:39:04.158954: Олень (3, 12) съел растение на (3, 13). Голод: 0
2025-03-27 04:39:04.167955: Олень (13, 7) съел растение на (12, 6). Голод: 0
2025-03-27 04:39:04.176955: Олень (14, 12) съел растение на (15, 13). Голод: 0
2025-03-27 04:39:04.185954: Олень (11, 8) съел растение на (12, 9). Голод: 0
2025-03-27 04:39:04.196033: Олень (13, 11) съел растение на (13, 12). Голод: 0
2025-03-27 04:39:04.205079: Олень (19, 14) съел растение на (19, 13). Голод: 0
2025-03-27 04:39:04.215035: Олень (2, 11) съел растение на (1, 10). Голод: 0
2025-03-27 04:39:04.224033: Олень (14, 8) съел растение на (15, 7). Голод: 0
2025-03-27 04:39:04.233075: Олень (7, 11) съел растение на (8, 11). Голод: 0
2025-03-27 04:39:04.243033: Олень (3, 11) съел растение на (2, 12). Голод: 0
2025-03-27 04:39:04.252068: Олень (1, 14) съел растение на (0, 13). Голод: 0
2025-03-27 04:39:04.261076: Олень (0, 8) съел растение на (1, 7). Голод: 0
2025-03-27 04:39:04.271140: Олень (10, 4) съел растение на (11, 5). Голод: 0
2025-03-27 04:39:04.282144: Олень (5, 2) съел растение на (5, 1). Голод: 0
2025-03-27 04:39:04.302140: Олень (9, 5) съел растение на (8, 4). Голод: 0
2025-03-27 04:39:04.323189: Олень (14, 13) съел растение на (15, 13). Голод: 0
2025-03-27 04:39:04.344145: Олень (15, 11) съел растение на (14, 11). Голод: 0
2025-03-27 04:39:04.365139: Олень (1, 2) съел растение на (1, 1). Голод: 0
2025-03-27 04:39:04.386192: Олень (3, 3) съел растение на (4, 2). Голод: 0
2025-03-27 04:39:04.407146: Олень (10, 17) съел растение на (11, 18). Голод: 0
2025-03-27 04:39:04.428273: Олень (5, 18) съел растение на (6, 17). Голод: 0
2025-03-27 04:39:04.449271: Олень (1, 12) съел растение на (0, 11). Голод: 0
