2025-03-27 16:38:38.719984: Медведь переместился с (12, 9) в (12, 8). Голод: 1
2025-03-27 16:38:38.728234: Лиса переместился с (5, 3) в (6, 3). Голод: 1
2025-03-27 16:38:38.736518: Орел переместился с (9, 15) в (10, 16). Голод: 1
2025-03-27 16:38:38.744693: Лошадь переместился с (8, 12) в (8, 11). Голод: 1
2025-03-27 16:38:38.752925: Коза переместился с (11, 8) в (10, 8). Голод: 1
2025-03-27 16:38:38.763069: Овца переместился с (0, 5) в (0, 4). Голод: 1
2025-03-27 16:38:38.773307: Кролик переместился с (13, 7) в (12, 6). Голод: 1
2025-03-27 16:38:38.792595: Волк (17, 3) съел Олень на (17, 4). Голод: 0
2025-03-27 16:38:38.792595: Волк (0, 10) съел Кролик на (1, 11). Голод: 0
2025-03-27 16:38:38.805714: Волк (12, 5) съел Кролик на (12, 6). Голод: 0
2025-03-27 16:38:38.814678: Волк (13, 7) съел Кролик на (12, 6). Голод: 0
2025-03-27 16:38:38.824902: Волк (18, 3) съел Олень на (17, 4). Голод: 0
2025-03-27 16:38:38.836069: Волк (1, 17) съел Олень на (2, 17). Голод: 0
2025-03-27 16:38:38.846229: Волк (0, 12) съел Кролик на (1, 11). Голод: 0
2025-03-27 16:38:38.855397: Олень (2, 17) съел растение на (3, 16). Голод: 0
2025-03-27 16:38:38.865604: Олень (5, 8) съел растение на (5, 7). Голод: 0
2025-03-27 16:38:38.879790: Кролик (11, 19) съел растение на (12, 19). Голод: 0
2025-03-27 16:38:38.888962: Коза (8, 0) съел растение на (9, 0). Голод: 0
2025-03-27 16:38:38.898134: Кролик (7, 8) съел растение на (6, 9). Голод: 0
2025-03-27 16:38:38.907337: Лиса (2, 11) съел Кролик на (1, 11). Голод: 0
2025-03-27 16:38:38.917509: Лошадь (10, 18) съел растение на (10, 17). Голод: 0
2025-03-27 16:38:38.930660: Коза (2, 19) съел растение на (1, 18). Голод: 0
2025-03-27 16:38:38.944889: Коза (14, 10) съел растение на (14, 11). Голод: 0
2025-03-27 16:38:38.956078: Овца (8, 4) съел растение на (7, 4). Голод: 0
2025-03-27 16:38:38.968239: Овца (0, 4) съел растение на (1, 3). Голод: 0
2025-03-27 16:38:38.978403: Волк переместился с (17, 3) в (16, 2). Голод: 1
2025-03-27 16:38:38.989566: Волк переместился с (12, 9) в (13, 8). Голод: 3
2025-03-27 16:38:39.003745: Волк переместился с (1, 0) в (2, 1). Голод: 3
2025-03-27 16:38:39.012929: Волк переместился с (6, 6) в (7, 6). Голод: 3
2025-03-27 16:38:39.023194: Волк переместился с (6, 5) в (5, 5). Голод: 3
2025-03-27 16:38:39.032383: Волк переместился с (1, 15) в (1, 14). Голод: 3
2025-03-27 16:38:39.042552: Волк переместился с (0, 10) в (19, 10). Голод: 1
2025-03-27 16:38:39.054730: Волк переместился с (12, 5) в (13, 5). Голод: 1
2025-03-27 16:38:39.063906: Волк переместился с (0, 6) в (0, 7). Голод: 3
2025-03-27 16:38:39.073094: Волк переместился с (9, 13) в (10, 12). Голод: 3
2025-03-27 16:38:39.082270: Волк переместился с (13, 7) в (12, 6). Голод: 1
2025-03-27 16:38:39.091456: Волк переместился с (7, 18) в (8, 19). Голод: 3
2025-03-27 16:38:39.102750: Волк переместился с (6, 13) в (6, 14). Голод: 3
2025-03-27 16:38:39.112906: Волк переместился с (12, 18) в (11, 18). Голод: 3
2025-03-27 16:38:39.122064: Волк переместился с (10, 14) в (9, 14). Голод: 3
2025-03-27 16:38:39.130154: Волк переместился с (18, 3) в (17, 2). Голод: 1
2025-03-27 16:38:39.138316: Волк переместился с (6, 12) в (6, 13). Голод: 3
2025-03-27 16:38:39.146413: Волк переместился с (1, 7) в (0, 8). Голод: 3
2025-03-27 16:38:39.154484: Волк переместился с (7, 10) в (7, 9). Голод: 3
2025-03-27 16:38:39.162721: Волк переместился с (9, 6) в (10, 5). Голод: 3
2025-03-27 16:38:39.171956: Волк переместился с (4, 2) в (3, 2). Голод: 3
2025-03-27 16:38:39.180083: Волк переместился с (1, 17) в (2, 16). Голод: 1
2025-03-27 16:38:39.188219: Волк переместился с (12, 1) в (11, 2). Голод: 3
2025-03-27 16:38:39.196307: Волк переместился с (7, 13) в (7, 14). Голод: 3
2025-03-27 16:38:39.204573: Волк переместился с (0, 12) в (1, 13). Голод: 1
2025-03-27 16:38:39.212655: Волк переместился с (15, 15) в (16, 16). Голод: 3
2025-03-27 16:38:39.220908: Волк переместился с (13, 16) в (12, 17). Голод: 3
2025-03-27 16:38:39.229179: Волк переместился с (10, 4) в (9, 5). Голод: 3
2025-03-27 16:38:39.238280: Олень переместился с (4, 19) в (3, 18). Голод: 3
2025-03-27 16:38:39.246542: Олень переместился с (2, 17) в (1, 18). Голод: 1
2025-03-27 16:38:39.257633: Олень переместился с (0, 13) в (0, 14). Голод: 3
2025-03-27 16:38:39.265718: Олень переместился с (5, 8) в (4, 9). Голод: 1
2025-03-27 16:38:39.273967: Олень переместился с (17, 4) в (17, 5). Голод: 3
2025-03-27 16:38:39.282168: Олень переместился с (3, 3) в (4, 2). Голод: 3
2025-03-27 16:38:39.290308: Лиса переместился с (18, 5) в (17, 5). Голод: 3
2025-03-27 16:38:39.299418: Орел переместился с (2, 15) в (2, 16). Голод: 3
2025-03-27 16:38:39.307595: Кролик переместился с (11, 19) в (12, 0). Голод: 1
2025-03-27 16:38:39.315727: Орел переместился с (17, 5) в (16, 5). Голод: 3
2025-03-27 16:38:39.323975: Лиса переместился с (8, 15) в (9, 16). Голод: 3
2025-03-27 16:38:39.335190: Коза переместился с (8, 0) в (7, 19). Голод: 1
2025-03-27 16:38:39.348361: Кролик переместился с (7, 8) в (8, 9). Голод: 1
2025-03-27 16:38:39.358574: Медведь переместился с (15, 2) в (14, 2). Голод: 3
2025-03-27 16:38:39.367747: Лиса переместился с (2, 11) в (3, 11). Голод: 1
2025-03-27 16:38:39.384055: Овца переместился с (12, 8) в (13, 9). Голод: 3
2025-03-27 16:38:39.395360: Медведь переместился с (4, 15) в (5, 15). Голод: 3
2025-03-27 16:38:39.407560: Орел переместился с (11, 10) в (12, 9). Голод: 3
2025-03-27 16:38:39.416741: Лошадь переместился с (10, 8) в (11, 9). Голод: 3
2025-03-27 16:38:39.429917: Кролик переместился с (1, 11) в (0, 11). Голод: 3
2025-03-27 16:38:39.441136: Орел переместился с (15, 5) в (14, 5). Голод: 3
2025-03-27 16:38:39.456422: Медведь переместился с (15, 13) в (14, 13). Голод: 3
2025-03-27 16:38:39.465578: Коза переместился с (2, 19) в (3, 0). Голод: 1
2025-03-27 16:38:39.475642: Мышь переместился с (0, 11) в (0, 10). Голод: 3
2025-03-27 16:38:39.488945: Орел переместился с (18, 18) в (17, 19). Голод: 3
2025-03-27 16:38:39.497120: Коза переместился с (14, 10) в (15, 11). Голод: 1
2025-03-27 16:38:39.505371: Овца переместился с (8, 4) в (9, 3). Голод: 1
2025-03-27 16:38:39.514513: Медведь переместился с (15, 0) в (16, 19). Голод: 3
2025-03-27 16:38:39.522646: Лиса переместился с (9, 2) в (8, 3). Голод: 3
2025-03-27 16:38:39.530813: Орел переместился с (10, 16) в (11, 16). Голод: 3
2025-03-27 16:38:39.539086: Овца переместился с (0, 4) в (1, 3). Голод: 1
2025-03-27 16:38:39.547347: Кролик переместился с (12, 6) в (13, 5). Голод: 3
2025-03-27 16:38:39.557478: Волк (1, 14) съел Олень на (0, 14). Голод: 0
2025-03-27 16:38:39.564575: Волк (7, 9) съел Кролик на (8, 9). Голод: 0
2025-03-27 16:38:39.573680: Волк (3, 2) съел Олень на (4, 2). Голод: 0
2025-03-27 16:38:39.582770: Волк (1, 13) съел Олень на (0, 14). Голод: 0
2025-03-27 16:38:39.591130: Олень (3, 18) съел растение на (4, 17). Голод: 0
2025-03-27 16:38:39.599317: Коза (7, 19) съел растение на (8, 19). Голод: 0
2025-03-27 16:38:39.608498: Кролик (8, 9) съел растение на (9, 10). Голод: 0
2025-03-27 16:38:39.616624: Овца (13, 9) съел растение на (12, 10). Голод: 0
2025-03-27 16:38:39.624832: Лошадь (11, 9) съел растение на (12, 10). Голод: 0
2025-03-27 16:38:39.633935: Лошадь (10, 18) съел растение на (11, 17). Голод: 0
2025-03-27 16:38:39.642073: Мышь (0, 10) съел растение на (0, 9). Голод: 0
2025-03-27 16:38:39.650331: Коза (15, 11) съел растение на (15, 12). Голод: 0
2025-03-27 16:38:39.658412: Овца (1, 3) съел растение на (2, 4). Голод: 0
2025-03-27 16:38:39.666678: Волк переместился с (16, 2) в (15, 3). Голод: 3
