2025-03-27 16:52:30.254678: Коза (5, 2) съел растение на (5, 3). Голод: 0
2025-03-27 16:52:30.262908: Овца (2, 8) съел растение на (3, 7). Голод: 0
2025-03-27 16:52:30.270964: Лошадь (4, 13) съел растение на (3, 14). Голод: 0
2025-03-27 16:52:30.278923: Мышь (5, 15) съел растение на (6, 15). Голод: 0
2025-03-27 16:52:30.286962: Коза (13, 2) съел растение на (12, 1). Голод: 0
2025-03-27 16:52:30.294917: Овца (3, 10) съел растение на (4, 10). Голод: 0
2025-03-27 16:52:30.303054: Лиса (0, 4) съел Мышь на (0, 5). Голод: 0
2025-03-27 16:52:30.312052: Мышь (16, 6) съел растение на (17, 7). Голод: 0
2025-03-27 16:52:30.320318: Медведь (15, 2) съел Коза на (15, 3). Голод: 0
2025-03-27 16:52:30.328445: Медведь (2, 13) съел Олень на (2, 12). Голод: 0
2025-03-27 16:52:30.337686: Мышь (0, 5) съел растение на (1, 5). Голод: 0
2025-03-27 16:52:30.346898: Волк переместился с (8, 11) в (8, 10). Голод: 3
2025-03-27 16:52:30.354986: Волк переместился с (9, 9) в (9, 10). Голод: 3
2025-03-27 16:52:30.363289: Волк переместился с (16, 16) в (15, 16). Голод: 3
2025-03-27 16:52:30.371415: Волк переместился с (18, 17) в (19, 18). Голод: 3
2025-03-27 16:52:30.379618: Волк переместился с (5, 5) в (4, 6). Голод: 3
2025-03-27 16:52:30.387847: Волк переместился с (18, 0) в (19, 1). Голод: 3
2025-03-27 16:52:30.396976: Волк переместился с (14, 4) в (15, 4). Голод: 1
2025-03-27 16:52:30.407025: Волк переместился с (14, 9) в (13, 8). Голод: 1
2025-03-27 16:52:30.417222: Волк переместился с (3, 15) в (4, 14). Голод: 3
2025-03-27 16:52:30.425517: Волк переместился с (7, 19) в (8, 18). Голод: 3
2025-03-27 16:52:30.434717: Волк переместился с (14, 19) в (15, 18). Голод: 3
2025-03-27 16:52:30.442991: Волк переместился с (13, 9) в (14, 8). Голод: 1
2025-03-27 16:52:30.452221: Волк переместился с (17, 11) в (16, 11). Голод: 3
2025-03-27 16:52:30.460308: Волк переместился с (6, 4) в (7, 3). Голод: 3
2025-03-27 16:52:30.468558: Волк переместился с (17, 10) в (18, 9). Голод: 3
2025-03-27 16:52:30.476596: Волк переместился с (13, 15) в (14, 16). Голод: 3
2025-03-27 16:52:30.484829: Волк переместился с (4, 19) в (4, 0). Голод: 3
2025-03-27 16:52:30.494954: Волк переместился с (3, 13) в (2, 14). Голод: 1
2025-03-27 16:52:30.503072: Волк переместился с (13, 18) в (14, 18). Голод: 3
2025-03-27 16:52:30.511231: Волк переместился с (7, 9) в (7, 8). Голод: 3
2025-03-27 16:52:30.519390: Волк переместился с (6, 3) в (5, 2). Голод: 1
2025-03-27 16:52:30.527603: Волк переместился с (11, 16) в (12, 15). Голод: 3
2025-03-27 16:52:30.535851: Волк переместился с (16, 19) в (17, 0). Голод: 3
2025-03-27 16:52:30.544036: Волк переместился с (14, 1) в (15, 0). Голод: 1
2025-03-27 16:52:30.552244: Волк переместился с (7, 16) в (8, 15). Голод: 3
2025-03-27 16:52:30.560414: Волк переместился с (4, 1) в (4, 2). Голод: 1
2025-03-27 16:52:30.568626: Олень переместился с (2, 12) в (1, 11). Голод: 3
2025-03-27 16:52:30.576800: Олень переместился с (14, 10) в (13, 10). Голод: 3
2025-03-27 16:52:30.584986: Медведь переместился с (12, 18) в (12, 17). Голод: 3
2025-03-27 16:52:30.593120: Коза переместился с (5, 2) в (4, 1). Голод: 1
2025-03-27 16:52:30.601365: Овца переместился с (2, 8) в (1, 8). Голод: 1
2025-03-27 16:52:30.609537: Кролик переместился с (13, 10) в (12, 10). Голод: 3
2025-03-27 16:52:30.618740: Медведь переместился с (18, 1) в (17, 1). Голод: 3
2025-03-27 16:52:30.625915: Орел переместился с (0, 18) в (19, 17). Голод: 3
2025-03-27 16:52:30.635094: Лошадь переместился с (4, 13) в (3, 12). Голод: 1
2025-03-27 16:52:30.643222: Мышь переместился с (5, 15) в (6, 16). Голод: 1
2025-03-27 16:52:30.651475: Медведь переместился с (2, 6) в (3, 6). Голод: 3
2025-03-27 16:52:30.659599: Лиса переместился с (12, 13) в (11, 12). Голод: 3
2025-03-27 16:52:30.667881: Медведь переместился с (2, 0) в (2, 1). Голод: 3
2025-03-27 16:52:30.675973: Орел переместился с (18, 9) в (19, 8). Голод: 3
2025-03-27 16:52:30.684212: Коза переместился с (13, 2) в (14, 2). Голод: 1
2025-03-27 16:52:30.692466: Овца переместился с (3, 10) в (2, 10). Голод: 1
2025-03-27 16:52:30.700596: Медведь переместился с (1, 2) в (0, 3). Голод: 3
2025-03-27 16:52:30.708729: Орел переместился с (10, 7) в (10, 6). Голод: 3
2025-03-27 16:52:30.716987: Лиса переместился с (0, 4) в (1, 5). Голод: 1
2025-03-27 16:52:30.725063: Мышь переместился с (16, 6) в (15, 6). Голод: 1
2025-03-27 16:52:30.733268: Мышь переместился с (14, 5) в (14, 4). Голод: 3
2025-03-27 16:52:30.741523: Лиса переместился с (17, 18) в (18, 19). Голод: 3
2025-03-27 16:52:30.749655: Орел переместился с (3, 16) в (2, 15). Голод: 3
2025-03-27 16:52:30.757911: Овца переместился с (0, 9) в (19, 9). Голод: 3
2025-03-27 16:52:30.766043: Мышь переместился с (0, 5) в (0, 4). Голод: 1
